Category,num_apps,avg_installs,avg_rating
ART_AND_DESIGN,60,1905351.6666666667,4.336842105263158
AUTO_AND_VEHICLES,82,647317.8170731707,4.184722222222223
BEAUTY,53,513151.88679245283,4.2785714285714285
BOOKS_AND_REFERENCE,190,8767811.894736841,4.347798742138364
BUSINESS,407,1712290.1474201474,4.1039525691699605
COMICS,55,817657.2727272727,4.1773584905660375
COMMUNICATION,287,38456119.167247385,4.126923076923077
DATING,165,854028.8303030303,3.9824427480916036
EDUCATION,114,3082017.543859649,4.348672566371682
ENTERTAINMENT,100,21134600.0,4.1259999999999994
EVENTS,63,253542.22222222222,4.435555555555555
FAMILY,1635,2691618.159021407,4.167174515235457
FINANCE,328,1387692.475609756,4.128373702422145
FOOD_AND_DRINK,110,1924897.7363636363,4.168478260869565
GAME,875,15837565.085714286,4.235251798561151
HEALTH_AND_FITNESS,273,4188821.9853479853,4.236051502145923
HOUSE_AND_HOME,74,1313681.9054054054,4.15
LIBRARIES_AND_DEMO,83,638503.734939759,4.178125
LIFESTYLE,346,1437816.2687861272,4.082078853046595
MAPS_AND_NAVIGATION,124,4056941.7741935486,4.039285714285714
MEDICAL,312,120616.48717948717,4.147577092511013
NEWS_AND_MAGAZINES,248,9549178.467741935,4.1045454545454545
PARENTING,58,542603.6206896552,4.339583333333334
PERSONALIZATION,294,5201482.6122448975,4.3
PHOTOGRAPHY,261,17805627.643678162,4.166129032258064
PRODUCTIVITY,345,16787331.344927534,4.181914893617021
SHOPPING,199,7036877.311557789,4.226966292134831
SOCIAL,236,23253652.127118643,4.25273631840796
SPORTS,301,3638640.1428571427,4.212605042016807
TOOLS,748,10695245.286096256,4.027022900763359
TRAVEL_AND_LOCAL,207,13984077.710144928,4.068156424581006
VIDEO_PLAYERS,158,24852732.40506329,4.043055555555556
WEATHER,71,5074486.197183099,4.229230769230769
