prime_genre,num_apps,avg_installs,avg_rating
Book,14,39758.5,3.0714285714285716
Business,17,7491.117647058823,3.9705882352941178
Catalogs,4,4004.0,4.125
Education,118,7003.983050847458,3.635593220338983
Entertainment,254,14029.830708661417,3.5393700787401574
Finance,36,31467.944444444445,3.375
Food & Drink,26,33333.92307692308,3.6346153846153846
Games,1872,22812.92467948718,4.037393162393163
Health & Fitness,65,23298.015384615384,3.769230769230769
Lifestyle,51,16485.764705882353,3.411764705882353
Medical,6,612.0,3.0
Music,66,57326.530303030304,3.946969696969697
Navigation,6,86090.33333333333,3.8333333333333335
News,43,21248.023255813954,3.244186046511628
Photo & Video,160,28441.54375,3.903125
Productivity,56,21028.410714285714,4.0
Reference,18,74942.11111111111,3.6666666666666665
Shopping,84,26919.690476190477,3.9702380952380953
Social Networking,106,71548.34905660378,3.5943396226415096
Sports,69,23008.898550724636,3.0652173913043477
Travel,40,28243.8,3.4875
Utilities,81,18684.456790123455,3.5308641975308643
Weather,28,52279.892857142855,3.482142857142857
